product_type;mission;level;origin_level;instrument;mode;type;groups;published_by;consumed_by
AX___LWM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
AX___OOM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
AX___CLM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
AX___TRM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
AX___CST_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR___CHDNAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR___CHDRAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_1_CONMAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_1_CONCAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_CON_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR___LSM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC01AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC02AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC03AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC04AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC05AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC06AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC07AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC08AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC09AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_IC10AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_EOT1AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_EOT2AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_LT1_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_LT2_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_LNEQAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_GEO_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_MSS1AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_MSS2AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_ODLEAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_POT_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_WNDLAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_WNDSAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SIGLAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SIGSAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SET_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SSM_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_MSMGAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_CP00AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_CP06AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_CP12AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_CP18AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_S1AMAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_S2AMAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_S1PHAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_S2PHAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_MDT_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SHD_AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SSBLAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
